#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
245.732612,229,215.649014
279.594982,186,215.839
246.878323,402,216.291172
277.122363,239,216.420057
300.689115,280,216.536928
262.527558,177,216.607674
268.43809,207,216.692187
248.778555,183,216.768131
247.939573,733,217.082758
160.483759,1000,217.509515
290.623875,196,217.587966
185.106497,1000,218.024065
277.652354,191,218.100441
249.738907,173,218.278396
245.06529,180,218.457269
246.564439,366,218.849483
315.0968,232,219.094316
259.678388,175,219.250483
267.064855,203,219.442617
272.960914,190,219.619305
263.471871,253,219.867497
292.33708,182,220.043496
245.029457,219,220.268367
250.199972,220,220.48336
266.219548,289,220.765659
275.376461,258,221.24028
285.05517,269,221.510016
296.789263,200,221.754235
259.022294,236,221.985027
287.734257,207,222.200421
295.567727,214,222.411905
239.068181,394,222.79369
125.050586,1000,223.757211
259.903969,188,223.913066
266.779777,258,224.130267
298.826006,274,224.508087
272.266142,221,224.719613
273.426339,214,224.889932
56.718914,85,224.975208
266.944726,293,225.28758
261.715289,224,225.500978
272.303753,417,225.867367
318.851942,189,226.058635
283.852905,197,226.27253
254.635311,206,226.480204
301.393509,252,226.73123
284.959847,314,227.02926
295.521196,474,227.471651
263.046427,285,227.744078
283.751195,204,227.944427
284.322247,212,228.169219
277.823041,208,228.287758
306.794318,167,228.356471
310.376611,308,228.482261
34.90653,102,228.525939
266.782786,186,228.605107
278.378549,188,228.686364
277.758001,215,228.776934
268.796438,190,228.859178
289.859327,208,228.94775
276.954902,187,229.023344
268.643364,247,229.260345
287.054345,291,229.524486
274.021833,184,229.692502
265.843113,207,229.900624
291.612922,297,230.179795
263.628839,258,230.41741
276.486156,680,231.060238
259.377857,189,231.254678
130.547018,1000,232.162786
289.926297,328,232.507405
253.314911,273,232.741024
258.62556,293,233.013054
290.061962,285,233.277575
275.526096,204,233.469941
292.491164,229,233.685424
283.517548,216,233.904541
272.192344,311,234.224272
260.971643,169,234.397665
273.289023,374,234.714991
303.414478,339,235.031156
273.814203,207,235.227562
244.582821,207,235.41116
28.119747,107,235.509089
146.244639,1000,236.404848
302.441842,391,236.864199
255.663443,549,237.330789
317.961793,251,237.58389
289.719209,276,237.870445
310.452529,297,238.148508
296.895452,220,238.539654
273.478425,218,238.629286
295.984949,177,238.70375
-15.814079,81,238.737914
285.453212,228,238.831966
276.804726,200,238.914719
284.175138,203,238.998582
286.484097,260,239.106506
157.431313,1000,239.536913
307.988132,229,239.632137
282.816859,295,239.927778
303.940854,267,240.174551
231.079179,268,240.401577
-16.681104,73,240.460973
287.069609,169,240.598647
273.204837,279,240.913094
-19.612707,105,241.025048
251.733691,229,241.221045
300.495328,278,241.450365
265.198141,215,241.642514
43.583812,160,241.777436
36.803745,105,241.863068
296.955596,312,242.133828
256.958999,239,242.329649
38.33728,95,242.413261
-3.927537,125,242.516628
281.777357,243,242.714656
245.750491,180,242.861804
290.520985,259,243.087669
243.275645,587,243.903378
275.517022,190,244.085876
229.487008,429,244.469864
301.503831,219,244.684139
